valor=prefixes:, tipo=PREFIXES
valor=ex:, tipo=KEY
valor=http://www.example.com/, tipo=VALUE
valor=e:, tipo=KEY
valor=http://myontology.com/, tipo=VALUE
valor=dbo:, tipo=KEY
valor=http://dbpedia.org/ontology/, tipo=VALUE
valor=grel:, tipo=KEY
valor=http://users.ugent.be/~bjdmeest/function/grel.ttl#, tipo=VALUE
valor=mappings:, tipo=MAPPINGS
valor=cluster:, tipo=KEY
valor=subject:, tipo=SUBJECT
valor=//orthologGroup, tipo=VALUE
valor=po:, tipo=PREDICATEOBJECT
valor=-, tipo=HYPHEN
valor=[, tipo=LBRACKET
valor=a, tipo=VALUE
valor=,, tipo=COMMA
valor=http://miuras.inf.um.es/ontologies/OGO.owl#Cluster, tipo=VALUE
valor=], tipo=RBRACKET
valor=gene:, tipo=KEY
valor=subject:, tipo=SUBJECT
valor=/orthoXML/species/database/genes/gene/@id, tipo=VALUE
valor=po:, tipo=PREDICATEOBJECT
valor=-, tipo=HYPHEN
valor=[, tipo=LBRACKET
valor=a, tipo=VALUE
valor=,, tipo=COMMA
valor=http://miuras.inf.um.es/ontologies/OGO.owl#Gene, tipo=VALUE
valor=], tipo=RBRACKET
valor=-, tipo=HYPHEN
valor=[, tipo=LBRACKET
valor=http://miuras.inf.um.es/ontologies/OGO.owl#Identifier, tipo=VALUE
valor=,, tipo=COMMA
valor=../@geneId, tipo=VALUE
valor=], tipo=RBRACKET
valor=NCB1:, tipo=KEY
valor=subject:, tipo=SUBJECT
valor=/orthoXML/species/@NCBITaxId, tipo=VALUE
valor=po:, tipo=PREDICATEOBJECT
valor=-, tipo=HYPHEN
valor=[, tipo=LBRACKET
valor=a, tipo=VALUE
valor=,, tipo=COMMA
valor=http://um.es/ncbi.owl#NCBI_1, tipo=VALUE
valor=], tipo=RBRACKET
valor=-, tipo=HYPHEN
valor=[, tipo=LBRACKET
valor=rdfs:label, tipo=VALUE
valor=,, tipo=COMMA
valor=/orthoXML/species/@name, tipo=VALUE
valor=], tipo=RBRACKET
valor=resource:, tipo=KEY
valor=subject:, tipo=SUBJECT
valor=/orthoXML/species/database/@name, tipo=VALUE
valor=po:, tipo=PREDICATEOBJECT
valor=-, tipo=HYPHEN
valor=[, tipo=LBRACKET
valor=a, tipo=VALUE
valor=,, tipo=COMMA
valor=http://miuras.inf.um.es/ontologies/OGO.owl#Resource, tipo=VALUE
valor=], tipo=RBRACKET
valor=protein:, tipo=KEY
valor=subject:, tipo=SUBJECT
valor=/orthoXML/species/database/genes/gene/@id, tipo=VALUE
valor=po:, tipo=PREDICATEOBJECT
valor=-, tipo=HYPHEN
valor=[, tipo=LBRACKET
valor=a, tipo=VALUE
valor=,, tipo=COMMA
valor=http://miuras.inf.um.es/ontologies/OGO.owl#Protein, tipo=VALUE
valor=], tipo=RBRACKET
valor=-, tipo=HYPHEN
valor=[, tipo=LBRACKET
valor=http://miuras.inf.um.es/ontologies/OGO.owl#Identifier, tipo=VALUE
valor=,, tipo=COMMA
valor=../@protId, tipo=VALUE
valor=], tipo=RBRACKET
valor=paralogous:, tipo=KEY
valor=subject:, tipo=SUBJECT
valor=//paralogGroup, tipo=VALUE
valor=po:, tipo=PREDICATEOBJECT
valor=-, tipo=HYPHEN
valor=[, tipo=LBRACKET
valor=a, tipo=VALUE
valor=,, tipo=COMMA
valor=http://miuras.inf.um.es/ontologies/swit/OGO.owl#ParalogousCluster, tipo=VALUE
valor=], tipo=RBRACKET
